City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,longyearbyen,78.2186,15.6401,-10.09,79,75,6.17,SJ,1680279069
153,ginda,30.6945,78.4932,8.18,84,87,2.3,IN,1680279070
154,kaduqli,11.0167,29.7167,33.37,8,83,4.82,SD,1680279070
155,mount gambier,-37.8333,140.7667,11.15,72,100,2.62,AU,1680279067
156,roma,43.2128,-75.4557,7.27,52,100,4.63,US,1680279071
157,aripuana,-9.1667,-60.6333,25.83,86,99,0.84,BR,1680278956
158,nevers,46.9167,3.3333,12.32,67,78,9.26,FR,1680279072
159,east london,-33.0153,27.9116,20.43,64,54,1.28,ZA,1680279073
160,andenes,69.3143,16.1194,1.07,60,75,9.26,NO,1680279073
161,bada,51.392,109.8717,-6.54,73,93,5.2,RU,1680279074
162,loandjili,-4.7561,11.8578,28.63,71,58,4.84,CG,1680279074
163,faya,18.3851,42.4509,16.29,76,42,3.17,SA,1680279074
164,vanavara,60.34,102.2797,-22.48,100,84,1.86,RU,1680279075
165,dunedin,-45.8742,170.5036,10.35,93,48,3.91,NZ,1680279076
166,tuensang,26.2833,94.8333,17.3,69,97,0.8,IN,1680279077
167,petropavlovsk-kamchatskiy,53.0452,158.6483,-2.67,69,0,5.0,RU,1680279079
168,vardo,70.3705,31.1107,-9.01,86,0,5.14,NO,1680279080
169,lasa,46.6166,10.7002,8.35,99,100,1.99,IT,1680279081
170,awbari,26.5921,12.7805,25.96,10,0,4.12,LY,1680279081
171,saint george,37.1041,-113.5841,8.57,65,0,1.54,US,1680279082
172,zaozerne,45.1582,33.2787,7.59,70,27,11.04,UA,1680279082
173,ejutla de crespo,16.5667,-96.7333,22.53,46,98,0.8,MX,1680279082
174,pisco,-13.7,-76.2167,26.03,73,0,4.63,PE,1680279084
175,machilipatnam,16.1667,81.1333,27.28,76,9,4.5,IN,1680279085
176,san joaquin,37.9333,-121.3011,11.16,73,20,3.09,US,1680279085
177,outjo,-20.1167,16.15,31.56,14,5,3.17,NA,1680279085
178,margate,51.3813,1.3862,11.61,88,100,3.13,GB,1680279086
179,norman wells,65.282,-126.8329,-17.01,91,88,3.02,CA,1680279086
180,nguru,12.8791,10.4526,36.32,8,100,5.52,NG,1680279087
181,bonavista,48.6499,-53.1147,-0.74,81,17,2.91,CA,1680279088
182,chuy,-33.6971,-53.4616,22.3,79,91,7.05,UY,1680279089
183,korba,22.35,82.6833,25.31,48,74,4.47,IN,1680279089
184,murray bridge,-35.1167,139.2667,13.4,78,50,3.8,AU,1680279090
185,aquiraz,-3.9014,-38.3911,31.05,67,87,4.58,BR,1680279090
186,nemuro,43.3236,145.575,2.62,95,93,3.27,JP,1680279091
187,slatina,44.4333,24.3667,18.58,54,47,4.08,RO,1680279091
188,luderitz,-26.6481,15.1594,20.34,65,81,3.73,NA,1680279092
189,taperoa,-7.2075,-36.8267,31.37,35,40,3.42,BR,1680279093
190,ewa beach,21.3156,-158.0072,22.97,90,0,1.54,US,1680279093
191,provideniya,64.3833,-173.3,-16.47,90,18,3.06,RU,1680279093
192,kanye,-24.9667,25.3327,19.01,62,64,5.36,BW,1680279094
193,san jose,37.3394,-121.895,11.31,80,20,2.57,US,1680279055
194,souillac,-20.5167,57.5167,26.23,86,3,4.59,MU,1680279095
195,portland,45.5234,-122.6762,8.32,79,100,6.17,US,1680278919
196,moree,-29.4667,149.85,16.52,52,100,3.15,AU,1680279096
197,ouadda,8.0777,22.4007,34.38,10,93,3.07,CF,1680279096
198,mitu,1.1983,-70.1733,23.51,93,100,1.67,CO,1680279097
199,tayu,-6.5397,111.0518,23.98,93,100,3.63,ID,1680279097
200,adana,36.985,35.2881,12.01,47,0,3.6,TR,1680279097
201,felanitx,39.4696,3.1483,24.52,51,100,3.49,ES,1680279098
202,boa vista,2.8197,-60.6733,31.99,48,40,7.2,BR,1680279098
203,damietta,31.4165,31.8133,15.41,55,2,6.62,EG,1680279099
204,khatanga,71.9667,102.5,-22.12,95,88,5.85,RU,1680279100
205,giyani,-23.3025,30.7187,24.15,62,70,2.54,ZA,1680279101
206,bathsheba,13.2167,-59.5167,31.34,58,40,11.32,BB,1680279101
207,vysotsk,60.6288,28.5705,-1.87,88,100,2.71,RU,1680279102
208,southbridge,42.0751,-72.0334,9.23,42,100,0.89,US,1680279102
209,ocean city,39.2776,-74.5746,13.14,70,100,3.58,US,1680279103
210,cherskiy,68.75,161.3,-4.96,97,100,1.47,RU,1680279104
211,port elizabeth,-33.918,25.5701,19.06,82,94,5.81,ZA,1680279104
212,pauini,-7.7136,-66.9764,23.74,95,100,1.4,BR,1680279105
213,naryan-mar,67.6713,53.087,-4.11,92,99,4.89,RU,1680279105
214,nikolskoye,59.7035,30.7861,0.94,99,100,1.93,RU,1680279105
215,kihei,20.785,-156.4656,23.25,86,20,3.6,US,1680278900
216,ahipara,-35.1667,173.1667,16.65,89,100,3.48,NZ,1680279106
217,kaeo,-35.1,173.7833,17.96,90,100,2.84,NZ,1680279107
218,letlhakane,-21.4167,25.5833,27.97,37,51,5.47,BW,1680279107
219,rio gallegos,-51.6226,-69.2181,11.03,35,0,3.09,AR,1680278852
220,nanortalik,60.1432,-45.2371,-1.74,77,55,2.94,GL,1680279108
221,thompson,55.7435,-97.8558,-9.19,91,97,1.09,CA,1680279108
222,vila velha,-20.3297,-40.2925,33.97,43,20,5.14,BR,1680279109
223,luanda,-8.8368,13.2343,30.0,66,40,7.72,AO,1680279109
224,okha,53.5739,142.9478,-5.41,97,51,1.57,RU,1680279110
225,hasaki,35.7333,140.8333,10.68,72,2,5.0,JP,1680279110
226,ostrovnoy,68.0531,39.5131,-4.12,88,93,10.79,RU,1680279111
227,clyde river,70.4692,-68.5914,-19.63,93,80,1.61,CA,1680279111
228,salumbar,24.1333,74.05,26.19,38,60,2.92,IN,1680279112
229,pacific grove,36.6177,-121.9166,11.4,81,0,2.57,US,1680278952
230,whitianga,-36.8333,175.7,16.3,81,100,2.82,NZ,1680279113
231,salta,-24.7859,-65.4117,26.99,69,52,2.24,AR,1680279113
232,estacion coahuila,32.1939,-115.0017,14.26,43,68,1.08,MX,1680279114
233,odoyev,53.9393,36.6864,0.91,98,100,1.77,RU,1680279114
234,kodiak,57.79,-152.4072,-1.27,59,0,2.06,US,1680279114
235,sala consilina,40.3912,15.5989,14.1,71,100,2.7,IT,1680279115
236,khuzhir,53.1939,107.3397,-7.6,70,96,4.06,RU,1680279115
237,woodward,36.4337,-99.3904,18.87,24,0,11.83,US,1680279115
238,husavik,66.0449,-17.3389,2.8,99,95,5.05,IS,1680279116
239,taoudenni,22.6783,-3.9836,36.54,5,0,6.91,ML,1680279116
240,saint-francois,46.4154,3.9054,10.53,71,75,9.26,FR,1680279117
241,navalmoral de la mata,39.8916,-5.5406,21.64,45,100,7.69,ES,1680279117
242,knysna,-34.0363,23.0471,17.74,73,7,1.16,ZA,1680279117
243,srandakan,-7.9386,110.2506,25.53,85,100,1.66,ID,1680279118
